feature,feature-latex,category,nonorm,byspeaker,eng,eng-udef,guj,guj-udef,hmn,hmn-udef,cmn,cmn-udef,maj,maj-udef,zap,zap-udef
H1H2c_mean,H1* -- H2*\_Mean,0,0,0,1,0,1,0,1,0.000368053,1,0,1,0,1,0.031976744
H1H2c_means001,H1* -- H2*\_1,0,0,0,1,0,1,0,1,0.000368053,1,0,1,0,1,0.031976744
H1H2c_means002,H1* -- H2*\_2,0,0,0,1,0,1,0,1,0.000368053,1,0,1,0,1,0.031976744
H1H2c_means003,H1* -- H2*\_3,0,0,0,1,9.97E-05,1,0,1,0.000368053,1,0,1,0,1,0.031976744
H2H4c_mean,H2* -- H4*\_Mean,0,0,0,1,0,1,0,1,0.000368053,1,0,1,0,1,0.031976744
H2H4c_means001,H2* -- H4*\_1,0,0,0,1,9.97E-05,1,0.000336361,1,0.000368053,1,0,1,0,1,0.031976744
H2H4c_means002,H2* -- H4*\_2,0,0,0,1,0,1,0,1,0.000368053,1,0,1,0,1,0.031976744
H2H4c_means003,H2* -- H4*\_3,0,0,0,1,9.97E-05,1,0.000336361,1,0.000368053,1,0,1,0,1,0.031976744
H1A1c_mean,H1* -- A1*\_Mean,0,0,0,1,0,1,0,1,0.000368053,1,0,1,0,1,0.031976744
H1A1c_means001,H1* -- A1*\_1,0,0,0,1,0,1,0,1,0.000368053,1,0,1,0,1,0.031976744
H1A1c_means002,H1* -- A1*\_2,0,0,0,1,0,1,0,1,0.000368053,1,0,1,0,1,0.031976744
H1A1c_means003,H1* -- A1*\_3,0,0,0,1,0,1,0,1,0.000368053,1,0,1,0,1,0.031976744
H1A2c_mean,H1* -- A2*\_Mean ,0,0,0,1,0,1,0,1,0.000368053,1,0,1,0,1,0.031976744
H1A2c_means001,H1* -- A2*\_1 ,0,0,0,1,0,1,0,1,0.000368053,1,0,1,0,1,0.031976744
H1A2c_means002,H1* -- A2*\_2,0,0,0,1,0,1,0,1,0.000368053,1,0,1,0,1,0.031976744
H1A2c_means003,H1* -- A2*\_3,0,0,0,1,0,1,0,1,0.000368053,1,0,1,0,1,0.031976744
H1A3c_mean,H1* -- A3*\_Mean,0,0,0,1,0,1,0,1,0.000368053,1,0,1,0,1,0.031976744
H1A3c_means001,H1* -- A3*\_1,0,0,0,1,0,1,0,1,0.000368053,1,0,1,0,1,0.031976744
H1A3c_means002,H1* -- A3*\_2,0,0,0,1,0,1,0,1,0.000368053,1,0,1,0,1,0.031976744
H1A3c_means003,H1* -- A3*\_3,0,0,0,1,0,1,0,1,0.000368053,1,0,1,0,1,0.031976744
H42Kc_mean,H4* -- 2k*\_Mean,0,0,0,1,0.000199382,1,0,1,0.000368053,1,0,1,0,1,0.031976744
H42Kc_means001,H4* -- 2k*\_1,0,0,0,1,0,1,0,1,0.000736106,1,0,1,0,1,0.031976744
H42Kc_means002,H4* -- 2k*\_2,0,0,0,1,0,1,0,1,0.000368053,1,0,1,0,1,0.031976744
