feature,feature-latex,category,nonorm,byspeaker,eng,eng-udef,guj,guj-udef,hmn,hmn-udef,cmn,cmn-udef,maj,maj-udef,zap,zap-udef
strF0_mean,STRAIGHT\_\textit{f}$_0$\_Mean,5,0,1,1,0,1,0,0,0,0,0,1,0,1,0
strF0_means001,STRAIGHT\_\textit{f}$_0$\_1,5,0,1,1,0,1,0,0,0,0,0,1,0,1,0
strF0_means002,STRAIGHT\_\textit{f}$_0$\_2,5,0,1,1,0,1,0,0,0,0,0,1,0,1,0
strF0_means003,STRAIGHT\_\textit{f}$_0$\_3,5,0,1,1,0,1,0,0,0,0,0,1,0,1,0
sF0_mean,Snack\_\textit{f}$_0$\_Mean,5,0,1,1,0,1,0,0,0.0368053,0,0,1,0,1,3.197674419
sF0_means001,Snack\_\textit{f}$_0$\_1,5,0,1,1,0,1,0,0,0.0368053,0,0,1,0,1,3.197674419
sF0_means002,Snack\_\textit{f}$_0$\_2,5,0,1,1,0,1,0,0,0.0368053,0,0,1,0,1,3.197674419
sF0_means003,Snack\_\textit{f}$_0$\_3,5,0,1,1,0,1,0,0,0.0368053,0,0,1,0,1,3.197674419
pF0_mean,Praat\_\textit{f}$_0$\_Mean,5,0,1,1,23.35759147,1,0.100908174,0,10.52631579,0,0,1,0,1,7.558139535
pF0_means001,Praat\_\textit{f}$_0$\_1,5,0,1,1,23.35759147,1,0.100908174,0,10.52631579,0,0,1,0,1,7.558139535
pF0_means002,Praat\_\textit{f}$_0$\_2,5,0,1,1,23.35759147,1,0.100908174,0,10.52631579,0,0,1,0,1,7.558139535
pF0_means003,Praat\_\textit{f}$_0$\_3,5,0,1,1,23.35759147,1,0.100908174,0,10.52631579,0,0,1,0,1,7.558139535
shrF0_mean,SHR\_\textit{f}$_0$\_Mean,5,0,1,1,0,1,0,0,0,0,0,1,0,1,2.325581395
shrF0_means001,SHR\_\textit{f}$_0$\_1,5,0,1,1,0,1,0,0,0,0,0,1,0,1,2.325581395
shrF0_means002,SHR\_\textit{f}$_0$\_2,5,0,1,1,0,1,0,0,0,0,0,1,0,1,2.325581395
shrF0_means003,SHR\_\textit{f}$_0$\_3,5,0,1,1,0,1,0,0,0,0,0,1,0,1,2.325581395
sF1_mean,F1\_Mean,6,0,1,1,0,1,0,1,0,1,0,1,0,1,3.197674419
sF1_means001,F1\_1,6,0,1,1,0,1,0,1,0,1,0,1,0,1,3.197674419
sF1_means002,F1\_2,6,0,1,1,0,1,0,1,0,1,0,1,0,1,3.197674419
sF1_means003,F1\_3,6,0,1,1,0,1,0,1,0,1,0,1,0,1,3.197674419
vowel_dur,Vowel\_Duration,7,0,1,1,0,1,0,1,0,1,0,1,0,1,0
jitter_loc_mean,Local\_Jitter\_Mean,8,0,0,1,25.13209052,1,0.067272116,1,14.42767759,1,0,1,0.414937759,1,5.523255814
jitter_loc_1,Local\_Jitter\_1,8,0,0,1,50.28411923,1,3.531786075,1,15.89988958,1,0,1,0.622406639,1,7.26744186
jitter_loc_2,Local\_Jitter\_2,8,0,0,1,48.37005284,1,1.547258661,1,17.55612808,1,3.333333333,1,2.282157676,1,12.20930233
jitter_loc_3,Local\_Jitter\_3,8,0,0,1,54.72036686,1,1.715438951,1,18.73389768,1,2.222222222,1,1.867219917,1,18.60465116
jitter_loc_abs_mean,Local\_Abs.\_Jitter\_Mean,8,0,0,1,25.13209052,1,0.067272116,1,14.42767759,1,0,1,0.414937759,1,5.523255814
jitter_loc_abs_1,Local\_Abs.\_Jitter\_1,8,0,0,1,50.28411923,1,3.531786075,1,15.89988958,1,0,1,0.622406639,1,7.26744186
jitter_loc_abs_2,Local\_Abs.\_Jitter\_2,8,0,0,1,48.37005284,1,1.547258661,1,17.55612808,1,3.333333333,1,2.282157676,1,12.20930233
jitter_loc_abs_3,Local\_Abs.\_Jitter\_3,8,0,0,1,54.72036686,1,1.715438951,1,18.73389768,1,2.222222222,1,1.867219917,1,18.60465116
jitter_rap_mean,RAP\_Jitter\_Mean,8,0,0,1,29.19948161,1,0.168180289,1,15.64225248,1,0,1,0.622406639,1,5.523255814
jitter_rap_1,RAP\_Jitter\_1,8,0,0,1,62.7056126,1,7.029936091,1,17.59293338,1,0,1,1.452282158,1,9.593023256
jitter_rap_2,RAP\_Jitter\_2,8,0,0,1,61.07068089,1,4.641775984,1,18.18181818,1,3.888888889,1,3.526970954,1,17.44186047
jitter_rap_3,RAP\_Jitter\_3,8,0,0,1,67.18173662,1,4.204507232,1,19.76444608,1,3.888888889,1,2.489626556,1,25.58139535
jitter_ppq5_mean,PPQ5\_Jitter\_Mean,8,0,0,1,39.6570631,1,0.538176926,1,17.04085388,1,0.555555556,1,0.622406639,1,6.976744186
jitter_ppq5_1,PPQ5\_Jitter\_1,8,0,0,1,79.61319908,1,19.34073327,1,22.59845418,1,1.111111111,1,4.356846473,1,28.19767442
jitter_ppq5_2,PPQ5\_Jitter\_2,8,0,0,1,78.57641312,1,15.47258661,1,22.37762238,1,5.555555556,1,10.99585062,1,35.46511628
jitter_ppq5_3,PPQ5\_Jitter\_3,8,0,0,1,83.48120825,1,15.16986209,1,24.69635628,1,9.444444444,1,8.091286307,1,45.93023256
shimmer_loc_mean,Local\_Shimmer\_Mean,9,0,0,1,29.47861629,1,0.168180289,1,15.75266838,1,0,1,0.622406639,1,5.813953488
shimmer_loc_1,Local\_Shimmer\_1,9,0,0,1,63.14425282,1,7.164480323,1,17.70334928,1,0,1,1.659751037,1,9.88372093
shimmer_loc_2,Local\_Shimmer\_2,9,0,0,1,61.290001,1,4.675412042,1,18.25542878,1,3.888888889,1,3.734439834,1,18.89534884
shimmer_loc_3,Local\_Shimmer\_3,9,0,0,1,67.56056226,1,4.204507232,1,19.98527788,1,4.444444444,1,3.112033195,1,28.19767442
shimmer_local_dB_mean,Local\_Shimmer\_dB\_Mean,9,0,0,1,29.47861629,1,0.168180289,1,15.75266838,1,0,1,0.622406639,1,5.813953488
shimmer_loc_db_1,Local\_Shimmer\_dB\_1,9,0,0,1,63.14425282,1,7.164480323,1,17.70334928,1,0,1,1.659751037,1,9.88372093
shimmer_loc_db_2,Local\_Shimmer\_dB\_2,9,0,0,1,61.290001,1,4.675412042,1,18.25542878,1,3.888888889,1,3.734439834,1,18.89534884
shimmer_loc_db_3,Local\_Shimmer\_dB\_3,9,0,0,1,67.56056226,1,4.204507232,1,19.98527788,1,4.444444444,1,3.112033195,1,28.19767442
shimmer_apq3_mean,APQ3\_Shimmer\_Mean,9,0,0,1,34.78217526,1,0.437268752,1,16.52557968,1,0.555555556,1,0.622406639,1,7.26744186
shimmer_apq3_1,APQ3\_Shimmer\_1,9,0,0,1,72.73452298,1,12.98351833,1,19.61722488,1,0.555555556,1,3.734439834,1,19.18604651
shimmer_apq3_2,APQ3\_Shimmer\_2,9,0,0,1,71.41860233,1,8.980827447,1,19.65403018,1,5,1,6.639004149,1,29.36046512
shimmer_apq3_3,APQ3\_Shimmer\_3,9,0,0,1,77.28043066,1,8.711738984,1,21.93595878,1,7.777777778,1,9.958506224,1,39.24418605
shimmer_apq5_mean,APQ5\_Shimmer\_Mean,9,0,0,1,45.79802612,1,1.109989909,1,17.59293338,1,1.666666667,1,1.244813278,1,8.720930233
shimmer_apq5_1,APQ5\_Shimmer\_1,9,0,0,1,84.90678895,1,29.39791456,1,27.67758557,1,2.777777778,1,11.41078838,1,38.6627907
shimmer_apq5_2,APQ5\_Shimmer\_2,9,0,0,1,84.36845778,1,24.85704675,1,27.01509017,1,8.888888889,1,19.91701245,1,50
shimmer_apq5_3,APQ5\_Shimmer\_3,9,0,0,1,88.26637424,1,24.21796165,1,31.21089437,1,22.22222222,1,36.7219917,1,64.24418605
shimmer_apq11_mean,APQ11\_Shimmer\_Mean,9,0,0,1,71.79742797,1,7.635385133,1,19.69083548,1,6.666666667,1,11.41078838,1,30.23255814
shimmer_apq11_1,APQ11\_Shimmer\_1,9,0,0,1,96.71019839,1,82.00470905,1,65.58704453,1,22.22222222,1,75.31120332,1,81.10465116
shimmer_apq11_2,APQ11\_Shimmer\_2,9,0,0,1,96.75007477,1,79.44836865,1,63.56275304,1,21.11111111,1,81.53526971,1,86.62790698
shimmer_apq11_3,APQ11\_Shimmer\_3,9,0,0,1,97.8666135,1,77.19475277,1,69.85645933,1,58.33333333,1,91.07883817,1,94.47674419
preceding_phone,x,x,x,x,x,0,0,0,0,0,0,0,0,0,0,0
following_phone,x,x,x,x,x,0,0,0,0,0,0,0,0,0,0,0
word_per,Dist\_Word\_(percent),10,0,0,1,0,0,0,0,0,0,0,0,0,0,0
utt_per,Dist\_Utt\_(\%),10,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ms_from_word_end,Dist\_Word\_(ms),10,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ms_from_utt_end,Dist\_Utt\_(ms),10,0,0,1,0,0,0,0,0,0,0,0,0,0,0
word_label,x,x,x,x,x,0,0,0,0,0,0,0,0,0,0,0
VoPT,VoPT,11,0,0,1,0,1,0,1,0,1,0,1,0,1,0
pre_is_voiced,Voicing\_Pre,12,1,0,1,0,0,0,0,0,0,0,0,0,0,0
fol_is_voiced,Voicing\_Fol,12,1,0,1,0,0,0,0,0,0,0,0,0,0,0
pre_is_obs,Manner\_Pre,12,1,0,1,0,0,0,0,0,0,0,0,0,0,0
fol_is_obs,Manner\_Fol,12,1,0,1,0,0,0,0,0,0,0,0,0,0,0
pre_exists,Presence\_Pre,12,1,0,1,0,0,0,0,0,0,0,0,0,0,0
fol_exists,Presence\_Fol,12,1,0,1,0,0,0,0,0,0,0,0,0,0,0
