feature,nonorm,byspeaker,feature-latex,eng,eng-udef,guj,guj-udef,hmn,hmn-udef,cmn,cmn-udef,maj,maj-udef,zap,zap-udef,cat
shimmer_local_dB_mean,0,0,Local\_Shimmer\_dB\_Mean,1,29.897,1,0.189,1,0,1,0,1,1.23,1,5.638,3
shimmer_loc_db_1,0,0,Local\_Shimmer\_dB\_1,1,66.741,1,7.238,1,0.774,1,0,1,2.459,1,9.792,3
shimmer_loc_db_2,0,0,Local\_Shimmer\_dB\_2,1,64.379,1,4.775,1,0.581,1,3.75,1,3.689,1,18.694,3
shimmer_loc_db_3,0,0,Local\_Shimmer\_dB\_3,1,69.992,1,4.433,1,2.13,1,3.75,1,4.508,1,27.893,3
shimmer_apq3_mean,0,0,APQ3\_Shimmer\_Mean,1,35.927,1,0.493,1,0,1,0,1,1.23,1,7.122,3
shimmer_apq3_1,0,0,APQ3\_Shimmer\_1,1,76.299,1,13.187,1,2.517,1,0,1,4.918,1,19.288,3
shimmer_apq3_2,0,0,APQ3\_Shimmer\_2,1,75.465,1,9.246,1,1.839,1,3.75,1,4.508,1,28.783,3
shimmer_apq3_3,0,0,APQ3\_Shimmer\_3,1,80.161,1,9.132,1,4.84,1,7.5,1,9.016,1,38.872,3
shimmer_apq5_mean,0,0,APQ5\_Shimmer\_Mean,1,47.791,1,1.175,1,0,1,0,1,1.639,1,8.605,3
shimmer_apq5_1,0,0,APQ5\_Shimmer\_1,1,88.719,1,29.632,1,11.617,1,0,1,10.656,1,38.576,3
shimmer_apq5_2,0,0,APQ5\_Shimmer\_2,1,88.136,1,25.351,1,10.552,1,7.5,1,13.525,1,49.555,3
shimmer_apq5_3,0,0,APQ5\_Shimmer\_3,1,91.164,1,24.934,1,16.167,1,18.75,1,36.885,1,64.095,3
shimmer_apq11_mean,0,0,APQ11\_Shimmer\_Mean,1,75.632,1,7.844,1,1.936,1,6.25,1,9.426,1,29.97,3
shimmer_apq11_1,0,0,APQ11\_Shimmer\_1,1,97.805,1,82.152,1,59.342,1,18.75,1,70.492,1,81.009,3
shimmer_apq11_2,0,0,APQ11\_Shimmer\_2,1,97.916,1,79.197,1,57.986,1,17.5,1,79.098,1,86.647,3
shimmer_apq11_3,0,0,APQ11\_Shimmer\_3,1,98.805,1,76.999,1,67.086,1,56.25,1,91.803,1,94.659,3
HNR05_mean,0,1,HNR05\_Mean,1,0,1,0,1,0,1,0,1,0,1,2.967,4
HNR05_means001,0,1,HNR05\_1,1,0,1,0,1,0,1,0,1,0,1,2.967,4
